,A,B,circuit
0,23,32,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.2469548998033112) q[9];
rx(0.2518240692241477) q[10];
rx(0.261319773354297) q[11];
rx(0.3013643698647172) q[12];
rx(0.2404210482215801) q[13];
rx(0.6778466385172832) q[14];
rx(0.1521069071549881) q[15];
rx(0.6503936988708185) q[16];
rx(0.3593612485786498) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
1,23,35,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.3297001458984536) q[9];
rx(0.3450591084767176) q[10];
rx(0.3960438556201356) q[11];
rx(0.4030428791592239) q[12];
rx(0.4728539002131327) q[13];
rx(0.2878262665437406) q[14];
rx(0.3047250393823454) q[15];
rx(0.2393810072464714) q[16];
rx(0.3629604510495722) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
2,23,36,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.2939985902075051) q[9];
rx(0.2593184364402004) q[10];
rx(0.2827881116619491) q[11];
rx(0.3608417291390288) q[12];
rx(0.3238665340846133) q[13];
rx(0.3298791729047442) q[14];
rx(0.3533002539322679) q[15];
rx(0.3335387327838666) q[16];
rx(0.6040610924356173) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
3,23,37,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.239892023722846) q[9];
rx(0.2208834364436744) q[10];
rx(0.4471631562454117) q[11];
rx(0.4437153447086557) q[12];
rx(0.3745238916993318) q[13];
rx(0.3255973830732584) q[14];
rx(0.3286262009912805) q[15];
rx(0.4082086298931757) q[16];
rx(0.3529825868121584) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
4,23,50,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.271258228956969) q[9];
rx(0.2584102785691845) q[10];
rx(0.4931013543506184) q[11];
rx(0.4165337072341813) q[12];
rx(0.4525991479634264) q[13];
rx(0.3248954886482633) q[14];
rx(0.2453215178731711) q[15];
rx(0.3202529124102919) q[16];
rx(0.3592200175836871) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
5,23,53,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.2922749940879494) q[9];
rx(0.2799718645591958) q[10];
rx(0.4082600082795459) q[11];
rx(0.418277884352811) q[12];
rx(0.4269039074716981) q[13];
rx(0.2630619740933877) q[14];
rx(0.3235759190584554) q[15];
rx(0.3243821960013927) q[16];
rx(0.4048839056853572) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
6,23,55,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.2187397294974924) q[9];
rx(0.2790233797738826) q[10];
rx(0.5357302289359147) q[11];
rx(0.3766840629111176) q[12];
rx(0.4805242020200406) q[13];
rx(0.2877276401842236) q[14];
rx(0.2568134653195228) q[15];
rx(0.3024825841575703) q[16];
rx(0.4038673607900284) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
7,23,57,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.2357509120111934) q[9];
rx(0.1868175569655462) q[10];
rx(0.5155791482827622) q[11];
rx(0.4506138601885098) q[12];
rx(0.5257516271237704) q[13];
rx(0.2903926264271239) q[14];
rx(0.2847992660154396) q[15];
rx(0.3162107168335181) q[16];
rx(0.3356769397419292) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
8,23,59,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.3460874941901918) q[9];
rx(0.2769901168105023) q[10];
rx(0.3449089467209144) q[11];
rx(0.4340895592290219) q[12];
rx(0.4192227491811649) q[13];
rx(0.301283739868589) q[14];
rx(0.3105201950350154) q[15];
rx(0.3725390809009144) q[16];
rx(0.335950771653479) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
9,23,63,"OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[18];
creg c[18];
rx(0.2724451429527657) q[0];
rx(0.2262802327935041) q[1];
rx(0.5280954596204556) q[2];
rx(0.3421388104534197) q[3];
rx(0.4786677270620134) q[4];
rx(0.2163270185845532) q[5];
rx(0.3884797741009639) q[6];
rx(0.2827263310362986) q[7];
rx(0.4064321569858187) q[8];
rx(0.1380059465942837) q[9];
rx(0.1150207022823966) q[10];
rx(1.087532400731458) q[11];
rx(0.4663745366506378) q[12];
rx(0.2345705862806973) q[13];
rx(0.1548758716411279) q[14];
rx(0.1166739106385816) q[15];
rx(0.1535044743338138) q[16];
rx(0.6750342244367956) q[17];
cx q[0],q[9];
cx q[1],q[10];
cx q[2],q[11];
cx q[3],q[12];
cx q[4],q[13];
cx q[5],q[14];
cx q[6],q[15];
cx q[7],q[16];
cx q[8],q[17];
h q[0];
h q[1];
h q[2];
h q[3];
h q[4];
h q[5];
h q[6];
h q[7];
h q[8];
measure q[0] -> c[0];
measure q[1] -> c[1];
measure q[2] -> c[2];
measure q[3] -> c[3];
measure q[4] -> c[4];
measure q[5] -> c[5];
measure q[6] -> c[6];
measure q[7] -> c[7];
measure q[8] -> c[8];
measure q[9] -> c[9];
measure q[10] -> c[10];
measure q[11] -> c[11];
measure q[12] -> c[12];
measure q[13] -> c[13];
measure q[14] -> c[14];
measure q[15] -> c[15];
measure q[16] -> c[16];
measure q[17] -> c[17];
"
