,A,B,gates,depth,2-gates,RZ,SX,CZ
0,23,32,378,280,68,136,162,68
1,23,35,379,282,68,137,162,68
2,23,36,379,280,68,137,162,68
3,23,37,386,291,72,136,166,72
4,23,50,383,283,68,141,162,68
5,23,53,386,292,72,136,166,72
6,23,55,388,288,70,141,165,70
7,23,57,379,285,70,134,163,70
8,23,59,387,291,72,136,166,72
9,23,63,379,285,70,135,163,70
10,23,67,380,285,70,135,163,70
11,23,69,391,294,72,141,166,72
12,23,74,385,291,72,135,166,72
13,23,77,383,282,68,141,162,68
14,23,81,376,277,68,135,162,68
15,23,82,379,284,70,134,163,70
16,23,83,384,286,68,142,162,68
17,23,84,377,282,70,133,163,70
18,23,85,383,284,70,137,165,70
19,23,93,380,285,70,135,163,70
20,23,98,382,285,68,140,162,68
21,23,99,385,291,72,135,166,72
22,23,104,381,285,70,136,163,70
23,23,106,527,329,102,176,238,102
24,23,107,378,281,68,137,162,68
25,23,109,381,286,70,135,163,70
26,23,113,383,284,68,142,162,68
27,23,114,380,287,70,135,163,70
28,23,115,382,283,68,140,162,68
29,23,117,386,291,72,136,166,72
30,23,165,386,291,72,136,166,72
31,23,166,380,285,70,135,163,70
32,23,198,379,282,68,138,162,68
33,23,199,384,289,69,137,167,69
34,23,233,387,287,70,141,165,70
35,23,234,381,282,68,140,162,68
36,23,240,379,284,70,135,163,70
37,23,241,388,291,70,142,163,70
38,23,249,387,291,72,137,166,72
39,23,251,382,285,68,140,162,68
40,23,252,378,279,68,136,162,68
41,23,254,382,284,68,140,162,68
42,23,256,383,287,70,137,163,70
43,23,261,382,286,68,140,162,68
44,23,262,380,284,68,139,162,68
45,23,263,380,286,70,135,163,70
46,23,302,378,280,68,137,162,68
47,23,306,380,283,68,138,162,68
48,23,317,384,287,68,142,162,68
49,23,325,373,276,68,131,162,68
50,23,334,385,290,72,135,166,72
51,23,335,386,290,72,136,166,72
52,23,336,384,285,68,142,162,68
53,23,337,382,285,70,137,163,70
54,23,342,386,290,72,136,166,72
55,23,345,392,296,72,141,168,72
56,23,346,389,293,72,138,166,72
57,23,351,383,284,68,141,162,68
58,23,353,385,290,70,139,163,70
59,23,354,382,284,68,141,162,68
60,23,365,384,288,70,139,163,70
61,23,380,377,280,68,136,162,68
