,A,B,gates,depth,2-gates,RZ,SX,CZ
0,23,32,566,401,108,190,243,108
1,23,35,566,399,108,189,243,108
2,23,36,560,395,108,184,243,108
3,23,37,567,406,110,190,242,110
4,23,50,586,400,106,207,249,106
5,23,53,569,410,110,193,242,110
6,23,55,570,406,110,192,242,110
7,23,57,568,407,110,191,242,110
8,23,59,588,399,106,207,249,106
9,23,63,567,403,108,192,243,108
10,23,67,587,398,106,206,249,106
11,23,69,589,403,106,209,249,106
12,23,74,566,403,108,192,243,108
13,23,77,566,407,110,190,242,110
14,23,81,583,398,106,204,249,106
15,23,82,588,400,106,208,249,106
16,23,83,587,403,106,208,249,106
17,23,84,586,400,106,207,249,106
18,23,85,563,398,108,188,243,108
19,23,93,567,403,108,191,243,108
20,23,98,562,399,108,187,241,108
21,23,99,590,406,108,205,252,108
22,23,104,568,406,110,192,242,110
23,23,106,569,408,110,192,242,110
24,23,107,589,406,108,204,252,108
25,23,109,567,405,108,192,243,108
26,23,113,566,405,110,190,242,110
27,23,114,568,408,110,192,242,110
28,23,115,565,399,108,189,243,108
29,23,117,565,401,108,190,243,108
30,23,165,565,403,108,190,243,108
31,23,166,568,402,108,191,243,108
32,23,198,588,401,106,207,249,106
33,23,199,590,406,107,205,254,107
34,23,233,568,407,110,191,242,110
35,23,234,564,402,108,190,243,108
36,23,240,586,399,106,205,249,106
37,23,241,574,408,108,198,243,108
38,23,249,563,401,108,189,243,108
39,23,251,587,401,106,206,249,106
40,23,252,560,398,108,186,243,108
41,23,254,566,404,110,190,242,110
42,23,256,569,403,108,193,243,108
43,23,261,586,402,106,206,249,106
44,23,262,568,403,108,193,243,108
45,23,263,589,401,106,209,249,106
46,23,302,564,400,108,189,243,108
47,23,306,566,404,108,192,243,108
48,23,317,590,404,106,209,249,106
49,23,325,581,395,106,200,249,106
50,23,334,565,402,108,189,243,108
51,23,335,565,402,108,191,243,108
52,23,336,589,401,106,209,249,106
53,23,337,586,402,106,207,249,106
54,23,342,565,406,110,189,240,110
55,23,345,570,411,110,192,244,110
56,23,346,588,403,106,209,249,106
57,23,351,588,400,106,208,249,106
58,23,353,595,407,108,209,252,108
59,23,354,566,401,108,189,243,108
60,23,365,587,403,106,208,249,106
61,23,380,587,402,106,207,249,106
62,23,383,587,398,106,206,249,106
63,23,404,567,405,110,191,242,110
64,23,406,566,403,110,189,242,110
65,23,411,586,401,106,207,249,106
66,23,416,591,407,108,206,252,108
67,23,419,586,399,106,206,249,106
68,23,420,588,404,106,208,249,106
69,23,421,564,400,108,189,243,108
70,23,424,562,401,108,188,243,108
71,23,425,567,408,110,191,242,110
72,23,426,715,447,138,231,321,138
73,23,428,582,398,106,202,249,106
74,23,435,589,400,106,208,249,106
75,32,35,577,407,110,194,245,110
76,32,36,572,403,110,190,245,110
77,32,37,577,410,110,195,245,110
78,32,50,577,393,106,199,248,106
79,32,53,581,416,110,200,245,110
80,32,55,580,394,106,200,248,106
81,32,57,573,408,108,195,244,108
82,32,59,581,394,106,201,248,106
83,32,63,579,397,106,200,248,106
84,32,67,588,399,108,201,253,108
85,32,69,580,396,106,201,248,106
86,32,74,572,408,108,196,244,108
87,32,77,569,406,108,192,244,108
88,32,81,575,409,110,195,245,110
89,32,82,582,414,110,200,245,110
90,32,83,570,406,108,194,244,108
91,32,84,578,410,110,197,245,110
92,32,85,575,408,110,194,245,110
93,32,93,580,413,110,198,245,110
94,32,98,574,409,110,193,243,110
95,32,99,577,396,106,198,248,106
96,32,104,586,401,108,201,253,108
97,32,106,572,407,108,194,244,108
98,32,107,577,396,106,198,248,106
99,32,109,579,398,106,201,248,106
100,32,113,576,409,110,195,245,110
101,32,114,578,397,106,200,248,106
102,32,115,581,395,106,201,248,106
103,32,117,581,399,106,201,249,106
104,32,165,569,406,108,192,244,108
105,32,166,597,404,108,208,255,108
106,32,198,581,412,110,198,245,110
107,32,199,574,392,106,195,248,106
108,32,233,578,393,106,199,248,106
109,32,234,568,405,108,192,244,108
110,32,240,569,403,108,191,244,108
111,32,241,582,400,106,203,248,106
112,32,249,578,395,106,200,248,106
113,32,251,578,394,106,198,248,106
114,32,252,566,403,108,190,244,108
115,32,254,576,394,106,198,248,106
116,32,256,582,396,106,203,248,106
117,32,261,572,407,108,194,244,108
118,32,262,572,406,108,195,244,108
119,32,263,592,404,108,206,253,108
120,32,302,575,392,106,197,248,106
121,32,306,578,398,106,200,248,106
122,32,317,572,405,108,194,244,108
123,32,325,574,390,106,194,248,106
124,32,334,569,405,108,191,244,108
125,32,335,571,407,108,195,244,108
126,32,336,580,413,110,199,245,110
127,32,337,569,405,108,193,244,108
128,32,342,577,412,110,196,243,110
129,32,345,570,406,108,193,244,108
130,32,346,584,416,110,203,245,110
131,32,351,582,414,110,200,245,110
132,32,353,580,411,110,197,245,110
133,32,354,579,394,106,199,248,106
134,32,365,578,396,106,200,248,106
135,32,380,579,397,106,200,248,106
136,32,383,578,391,106,198,248,106
137,32,404,582,397,106,203,248,106
138,32,406,577,390,106,197,248,106
139,32,411,589,404,108,204,253,108
140,32,416,577,395,106,198,248,106
141,32,419,579,394,106,200,248,106
142,32,420,572,408,108,195,244,108
143,32,421,590,403,108,204,253,108
144,32,424,575,411,110,195,245,110
145,32,425,572,409,108,195,244,108
146,32,426,579,394,106,200,248,106
147,32,428,568,403,108,190,244,108
148,32,435,591,401,108,204,253,108
149,35,36,575,393,106,196,247,106
150,35,37,570,408,110,192,242,110
151,35,50,568,403,108,193,243,108
152,35,53,572,412,110,195,242,110
153,35,55,582,396,106,202,247,106
154,35,57,569,407,110,191,242,110
155,35,59,583,396,106,203,247,106
156,35,63,569,403,108,194,243,108
157,35,67,572,402,108,195,243,108
158,35,69,571,403,108,196,243,108
159,35,74,581,399,106,203,247,106
160,35,77,569,409,110,192,242,110
161,35,81,586,402,108,201,252,108
162,35,82,583,397,106,204,247,106
163,35,83,568,403,108,194,243,108
164,35,84,569,402,108,194,243,108
165,35,85,580,395,106,201,247,106
166,35,93,579,396,106,200,247,106
167,35,98,576,395,106,197,245,106
168,35,99,580,398,106,201,247,106
169,35,104,578,395,106,200,247,106
170,35,106,581,398,106,202,247,106
171,35,107,579,398,106,200,247,106
172,35,109,581,400,106,203,247,106
173,35,113,569,403,108,194,243,108
174,35,114,580,399,106,202,247,106
175,35,115,583,397,106,203,247,106
176,35,117,587,404,108,201,252,108
177,35,165,580,399,106,202,247,106
178,35,166,573,404,108,196,243,108
179,35,198,582,396,106,202,247,106
180,35,199,565,404,110,187,242,110
181,35,233,588,402,108,202,252,108
182,35,234,566,406,110,190,242,110
183,35,240,580,396,106,200,247,106
184,35,241,575,408,108,199,243,108
185,35,249,567,407,110,191,242,110
186,35,251,581,396,106,201,247,106
187,35,252,564,400,108,190,243,108
188,35,254,578,396,106,200,247,106
189,35,256,584,398,106,205,247,106
190,35,261,570,404,108,194,243,108
191,35,262,570,407,110,193,242,110
192,35,263,573,405,108,197,243,108
193,35,302,566,400,108,191,243,108
194,35,306,588,407,108,203,252,108
195,35,317,583,399,106,203,247,106
196,35,325,576,392,106,196,247,106
197,35,334,578,395,106,199,247,106
198,35,335,569,404,108,195,243,108
199,35,336,571,405,108,196,243,108
200,35,337,581,399,106,203,247,106
201,35,342,567,406,110,190,240,110
202,35,345,579,397,106,200,247,106
203,35,346,575,412,110,198,242,110
204,35,351,573,406,108,197,243,108
205,35,353,582,397,106,202,247,106
206,35,354,589,403,108,202,252,108
207,35,365,567,402,108,193,243,108
208,35,380,581,399,106,202,247,106
209,35,383,581,395,106,201,247,106
210,35,404,568,401,108,193,243,108
211,35,406,569,401,108,193,243,108
212,35,411,571,405,108,196,243,108
213,35,416,571,405,108,195,243,108
214,35,419,581,396,106,202,247,106
215,35,420,570,405,108,195,243,108
216,35,421,566,400,108,191,243,108
217,35,424,576,397,106,198,247,106
218,35,425,568,408,110,191,242,110
219,35,426,569,402,108,193,243,108
220,35,428,566,404,110,188,242,110
221,35,435,583,395,106,203,247,106
222,36,37,571,394,106,194,249,106
