,A,B,gates,depth,2-gates,RZ,SX,CZ
0,23,32,555,407,110,183,250,110
1,23,35,550,400,106,183,251,106
2,23,36,549,400,106,182,251,106
3,23,37,554,404,108,185,251,108
4,23,50,556,408,110,185,250,110
5,23,53,560,406,106,192,251,106
6,23,55,555,403,106,187,251,106
7,23,57,555,403,106,188,251,106
8,23,59,559,407,106,191,251,106
9,23,63,557,409,110,185,250,110
10,23,67,549,403,106,183,249,106
11,23,69,553,405,108,184,251,108
12,23,74,556,404,106,188,251,106
13,23,77,551,403,108,182,251,108
14,23,81,554,404,108,185,251,108
15,23,82,550,402,106,183,251,106
16,23,83,560,412,110,188,250,110
17,23,84,556,404,106,188,251,106
18,23,85,549,402,108,180,251,108
19,23,93,556,407,110,185,250,110
20,23,98,562,406,106,194,251,106
21,23,99,555,405,106,188,251,106
22,23,104,552,399,106,185,251,106
23,23,106,560,408,108,191,250,108
24,23,107,554,404,106,187,251,106
25,23,109,554,405,108,185,251,108
26,23,113,553,404,106,186,251,106
27,23,114,554,405,108,185,251,108
28,23,115,557,403,106,189,251,106
29,23,117,551,401,106,184,251,106
30,23,165,555,406,108,185,251,108
31,23,166,561,411,110,189,250,110
32,23,198,555,406,108,185,251,108
33,23,199,560,409,107,187,256,107
34,23,233,561,412,110,189,250,110
35,23,234,555,403,106,188,251,106
36,23,240,556,403,106,189,251,106
37,23,241,558,409,108,189,251,108
38,23,249,558,403,106,190,251,106
39,23,251,557,405,106,189,251,106
40,23,252,550,401,106,183,251,106
41,23,254,558,409,110,187,250,110
42,23,256,553,402,106,186,251,106
43,23,261,561,405,106,193,251,106
44,23,262,557,403,106,189,251,106
45,23,263,553,402,106,186,251,106
46,23,302,547,399,108,177,251,108
47,23,306,563,413,110,191,250,110
48,23,317,552,404,108,183,251,108
49,23,325,560,406,106,189,255,106
50,23,334,553,405,108,183,251,108
51,23,335,555,406,108,185,251,108
52,23,336,559,410,108,189,251,108
53,23,337,556,403,106,189,251,106
54,23,342,555,402,106,187,251,106
55,23,345,551,403,108,181,251,108
56,23,346,563,413,110,191,250,110
57,23,351,560,411,110,188,250,110
58,23,353,559,409,110,188,250,110
59,23,354,553,405,108,184,251,108
60,23,365,557,409,110,185,250,110
61,23,380,558,408,108,189,250,108
62,23,383,553,401,106,186,251,106
63,23,404,556,407,110,185,250,110
64,23,406,551,402,108,181,251,108
65,23,411,551,402,108,182,251,108
66,23,416,554,404,108,185,251,108
67,23,419,558,410,110,187,250,110
68,23,420,563,410,108,193,250,108
69,23,421,552,405,108,182,251,108
70,23,424,558,411,110,186,250,110
71,23,425,555,408,110,184,250,110
72,23,426,553,405,108,183,251,108
73,23,428,553,406,110,182,250,110
74,23,435,554,406,108,185,251,108
75,32,35,542,396,108,175,249,108
76,32,36,541,396,108,174,249,108
77,32,37,548,402,110,179,248,110
78,32,50,541,396,108,174,249,108
79,32,53,548,403,108,180,249,108
80,32,55,547,398,106,181,249,106
81,32,57,545,400,110,176,248,110
82,32,59,548,403,108,180,249,108
83,32,63,546,395,106,180,249,106
84,32,67,539,396,106,175,247,106
85,32,69,547,402,108,180,248,108
86,32,74,548,399,106,182,249,106
87,32,77,543,398,108,176,249,108
88,32,81,546,400,110,177,248,110
89,32,82,540,395,106,175,249,106
90,32,83,545,400,108,177,249,108
91,32,84,546,401,108,178,249,108
92,32,85,541,394,106,176,249,106
93,32,93,545,396,106,180,249,106
94,32,98,548,401,108,180,249,108
95,32,99,543,399,108,176,249,108
96,32,104,542,395,108,175,249,108
97,32,106,545,396,106,180,249,106
98,32,107,546,401,110,177,248,110
99,32,109,546,400,108,179,249,108
100,32,113,543,398,108,176,249,108
101,32,114,546,397,106,181,249,106
102,32,115,545,401,110,175,248,110
103,32,117,544,397,106,178,250,106
104,32,165,549,397,106,183,249,106
105,32,166,549,396,106,183,249,106
106,32,198,549,404,110,179,248,110
107,32,199,545,397,108,177,248,108
108,32,233,550,405,110,180,248,110
109,32,234,545,399,108,178,249,108
110,32,240,546,396,106,181,249,106
111,32,241,550,404,108,183,249,108
112,32,249,548,403,110,178,248,110
113,32,251,547,398,106,181,249,106
114,32,252,542,397,108,175,248,108
115,32,254,543,396,106,178,249,106
116,32,256,543,395,106,178,249,106
117,32,261,551,398,106,185,249,106
118,32,262,549,398,106,183,249,106
119,32,263,545,398,108,178,248,108
120,32,302,539,394,108,171,249,108
121,32,306,551,398,106,185,249,106
122,32,317,544,396,106,179,249,106
123,32,325,544,397,108,177,248,108
124,32,334,547,396,106,181,249,106
125,32,335,547,401,108,179,249,108
126,32,336,551,406,110,181,248,110
127,32,337,548,402,110,179,248,110
128,32,342,545,395,106,179,249,106
129,32,345,543,398,108,175,249,108
130,32,346,551,400,106,185,249,106
131,32,351,553,402,108,185,248,108
132,32,353,546,400,110,177,248,110
133,32,354,545,400,108,178,249,108
134,32,365,548,397,106,182,249,106
135,32,380,546,403,110,177,248,110
136,32,383,540,394,108,173,249,108
137,32,404,543,398,110,174,248,110
138,32,406,545,400,110,175,248,110
139,32,411,551,403,110,179,251,110
140,32,416,546,400,110,177,248,110
141,32,419,545,397,106,180,249,106
142,32,420,548,398,106,182,249,106
143,32,421,544,400,108,176,249,108
144,32,424,545,401,108,177,249,108
145,32,425,540,396,108,173,249,108
146,32,426,547,396,106,181,249,106
