,A,B,gates,depth,2-gates,RZ,SX,CZ
0,23,32,379,285,68,138,162,68
1,23,35,381,292,72,133,165,72
2,23,36,380,291,72,132,165,72
3,23,37,383,291,70,136,165,70
4,23,50,378,283,68,138,162,68
5,23,53,381,286,68,141,162,68
6,23,55,385,296,72,136,165,72
7,23,57,385,295,72,138,165,72
8,23,59,381,289,70,136,163,70
9,23,63,379,284,68,138,162,68
10,23,67,381,289,70,137,163,70
11,23,69,378,283,68,138,162,68
12,23,74,378,282,68,138,162,68
13,23,77,381,284,68,140,162,68
14,23,81,378,282,68,137,162,68
15,23,82,381,286,68,140,162,68
16,23,83,381,289,68,140,162,68
17,23,84,377,287,70,133,163,70
18,23,85,379,284,68,139,162,68
19,23,93,378,285,68,138,162,68
20,23,98,382,286,68,141,162,68
21,23,99,381,289,70,137,163,70
22,23,104,372,281,70,129,163,70
23,23,106,380,284,68,140,162,68
24,23,107,380,286,68,139,162,68
25,23,109,384,294,72,137,165,72
26,23,113,386,294,70,139,165,70
27,23,114,382,286,68,141,162,68
28,23,115,382,290,70,137,163,70
29,23,117,376,284,70,133,163,70
30,23,165,386,290,70,139,165,70
31,23,166,381,290,70,136,163,70
32,23,198,379,284,68,139,162,68
33,23,199,383,291,69,138,167,69
34,23,233,387,299,72,139,165,72
35,23,234,382,288,68,141,162,68
36,23,240,386,295,72,139,165,72
37,23,241,380,288,68,139,162,68
38,23,249,388,297,72,140,165,72
39,23,251,384,292,70,139,163,70
40,23,252,374,284,70,131,163,70
41,23,254,382,294,72,134,165,72
42,23,256,380,288,70,136,163,70
43,23,261,382,289,70,138,163,70
44,23,262,388,291,70,141,165,70
45,23,263,380,288,70,136,163,70
46,23,302,381,291,72,133,165,72
47,23,306,381,290,70,137,163,70
48,23,317,382,286,68,141,162,68
49,23,325,382,284,68,138,166,68
50,23,334,385,296,72,137,165,72
51,23,335,377,284,68,136,162,68
52,23,336,389,301,72,141,165,72
53,23,337,386,294,72,138,165,72
54,23,342,379,285,68,139,162,68
55,23,345,378,283,68,138,162,68
56,23,346,384,290,70,139,163,70
57,23,351,387,297,72,139,165,72
58,23,353,380,287,68,139,162,68
59,23,354,382,286,68,141,162,68
60,23,365,386,297,72,138,165,72
61,23,380,382,286,70,136,165,70
62,23,383,385,289,70,138,165,70
63,23,404,381,284,68,140,162,68
64,23,406,381,287,70,135,165,70
65,23,411,373,280,68,133,162,68
66,23,416,379,288,70,136,163,70
67,23,419,377,287,70,134,163,70
68,23,420,383,289,68,142,162,68
69,23,421,384,297,72,136,165,72
70,23,424,378,287,70,134,163,70
71,23,425,378,285,68,137,162,68
72,23,426,378,286,70,134,163,70
73,23,428,375,281,68,135,162,68
74,23,435,385,290,70,139,165,70
75,32,35,375,281,70,132,163,70
76,32,36,369,279,70,127,161,70
77,32,37,372,281,70,130,161,70
78,32,50,374,286,72,129,165,72
79,32,53,375,280,68,137,160,68
80,32,55,372,281,70,130,161,70
81,32,57,369,275,68,131,160,68
82,32,59,369,276,68,130,160,68
83,32,63,371,276,68,132,160,68
84,32,67,373,281,70,131,161,70
85,32,69,372,277,68,134,160,68
86,32,74,372,276,68,134,160,68
87,32,77,375,278,68,136,160,68
88,32,81,370,278,70,128,161,70
89,32,82,373,278,68,134,160,68
90,32,83,379,291,72,133,165,72
91,32,84,370,276,68,132,160,68
92,32,85,370,278,70,129,161,70
93,32,93,378,289,72,133,165,72
94,32,98,379,283,70,135,163,70
95,32,99,372,279,68,133,160,68
96,32,104,372,278,70,129,163,70
97,32,106,371,279,70,130,161,70
98,32,107,372,278,68,133,160,68
99,32,109,373,278,68,134,160,68
100,32,113,372,280,68,133,160,68
101,32,114,374,278,68,135,160,68
102,32,115,371,278,68,132,160,68
103,32,117,378,288,72,131,166,72
104,32,165,372,276,68,133,160,68
105,32,166,373,282,70,130,161,70
106,32,198,373,278,68,135,160,68
107,32,199,372,280,70,129,163,70
108,32,233,374,282,68,135,160,68
109,32,234,376,282,68,137,160,68
110,32,240,378,287,72,133,165,72
111,32,241,380,291,72,134,165,72
112,32,249,382,291,72,136,165,72
113,32,251,374,279,68,135,160,68
114,32,252,374,285,72,128,165,72
115,32,254,368,279,70,127,161,70
116,32,256,378,282,70,134,163,70
117,32,261,372,277,68,134,160,68
118,32,262,378,284,70,135,161,70
119,32,263,372,280,70,130,161,70
120,32,302,370,275,68,131,160,68
121,32,306,373,282,70,131,161,70
122,32,317,379,283,70,135,163,70
123,32,325,365,271,68,127,160,68
124,32,334,370,280,70,128,161,70
125,32,335,374,282,70,131,161,70
