,A,B,mean_value,fidelity,probs
0,23,32,3.8146972656249835e-06,0.9834686166548985,"[1.64910885e-03 1.67914505e-03 1.66625658e-03 ... 1.44569037e-10
 7.92028017e-11 2.61996637e-11]"
1,32,23,3.8146972656249835e-06,0.9834686166548985,"[1.64910885e-03 1.67914505e-03 1.66625658e-03 ... 1.44569037e-10
 7.92028017e-11 2.61996637e-11]"
2,23,35,3.814697265624984e-06,0.99830073002427,"[1.67010186e-03 1.71166293e-03 1.69655414e-03 ... 2.46781007e-10
 1.18552400e-10 9.33145875e-12]"
3,35,23,3.814697265624984e-06,0.99830073002427,"[1.67010186e-03 1.71166293e-03 1.69655414e-03 ... 2.46781007e-10
 1.18552400e-10 9.33145875e-12]"
4,23,36,3.814697265624983e-06,0.9955859356426671,"[1.66721001e-03 1.70319293e-03 1.68629876e-03 ... 3.31040695e-10
 1.65638723e-10 9.41166712e-12]"
5,36,23,3.814697265624983e-06,0.9955859356426671,"[1.66721001e-03 1.70319293e-03 1.68629876e-03 ... 3.31040695e-10
 1.65638723e-10 9.41166712e-12]"
6,23,37,3.814697265624986e-06,0.9980371501795737,"[1.67365738e-03 1.70449950e-03 1.70368497e-03 ... 2.62196238e-10
 1.46025627e-10 3.90988720e-12]"
7,37,23,3.814697265624986e-06,0.9980371501795737,"[1.67365738e-03 1.70449950e-03 1.70368497e-03 ... 2.62196238e-10
 1.46025627e-10 3.90988720e-12]"
8,23,50,3.8146972656249843e-06,0.9986145048945594,"[1.67092464e-03 1.70594069e-03 1.70368652e-03 ... 2.65493988e-10
 1.42175952e-10 4.01165042e-12]"
9,50,23,3.8146972656249843e-06,0.9986145048945594,"[1.67092464e-03 1.70594069e-03 1.70368652e-03 ... 2.65493988e-10
 1.42175952e-10 4.01165042e-12]"
10,23,53,3.814697265624985e-06,0.9989308196652735,"[1.67262196e-03 1.70959376e-03 1.70002293e-03 ... 2.81883457e-10
 1.44126544e-10 5.11876006e-12]"
11,53,23,3.814697265624985e-06,0.9989308196652735,"[1.67262196e-03 1.70959376e-03 1.70002293e-03 ... 2.81883457e-10
 1.44126544e-10 5.11876006e-12]"
12,23,55,3.8146972656249843e-06,0.9990709965867162,"[1.67083643e-03 1.70032681e-03 1.70569737e-03 ... 3.26484997e-10
 1.91819494e-10 6.87223595e-13]"
13,55,23,3.8146972656249843e-06,0.9990709965867162,"[1.67083643e-03 1.70032681e-03 1.70569737e-03 ... 3.26484997e-10
 1.91819494e-10 6.87223595e-13]"
14,23,57,3.8146972656249835e-06,0.9987699419626679,"[1.66705607e-03 1.69747441e-03 1.70122698e-03 ... 3.03939279e-10
 1.72931556e-10 7.41724481e-13]"
15,57,23,3.8146972656249835e-06,0.9987699419626679,"[1.66705607e-03 1.69747441e-03 1.70122698e-03 ... 3.03939279e-10
 1.72931556e-10 7.41724481e-13]"
16,23,59,3.814697265624985e-06,0.9975098223451154,"[1.67074125e-03 1.71340256e-03 1.69432906e-03 ... 2.15355564e-10
 9.79053096e-11 1.52693563e-11]"
17,59,23,3.814697265624985e-06,0.9975098223451154,"[1.67074125e-03 1.71340256e-03 1.69432906e-03 ... 2.15355564e-10
 9.79053096e-11 1.52693563e-11]"
18,23,63,3.8146972656249826e-06,0.9820150352361138,"[1.59084246e-03 1.61202347e-03 1.66039744e-03 ... 5.12375300e-10
 3.38616561e-10 3.42717466e-11]"
19,63,23,3.8146972656249826e-06,0.9820150352361138,"[1.59084246e-03 1.61202347e-03 1.66039744e-03 ... 5.12375300e-10
 3.38616561e-10 3.42717466e-11]"
20,23,67,3.814697265624983e-06,0.9977911765634438,"[1.67461723e-03 1.70542935e-03 1.70440636e-03 ... 2.93586342e-10
 1.65380909e-10 3.05711414e-12]"
