,A,B,exp_value,fidelity
0,23,32,0.9669372333097932,0.9834686166548966
1,32,23,0.9669372333097932,0.9834686166548966
2,23,35,0.9966014600485366,0.9983007300242683
3,35,23,0.9966014600485366,0.9983007300242683
4,23,36,0.9911718712853306,0.9955859356426653
5,36,23,0.9911718712853306,0.9955859356426653
6,23,37,0.9960743003591437,0.9980371501795718
7,37,23,0.9960743003591437,0.9980371501795718
8,23,50,0.9972290097891154,0.9986145048945577
9,50,23,0.9972290097891154,0.9986145048945577
10,23,53,0.9978616393305437,0.9989308196652719
11,53,23,0.9978616393305437,0.9989308196652719
12,23,55,0.9981419931734289,0.9990709965867144
13,55,23,0.9981419931734289,0.9990709965867144
14,23,57,0.9975398839253324,0.9987699419626662
15,57,23,0.9975398839253324,0.9987699419626662
16,23,59,0.9950196446902271,0.9975098223451135
17,59,23,0.9950196446902271,0.9975098223451135
18,23,63,0.964030070472224,0.982015035236112
19,63,23,0.964030070472224,0.982015035236112
20,23,67,0.9955823531268841,0.9977911765634421
21,67,23,0.9955823531268841,0.9977911765634421
22,23,69,0.9948967914351236,0.9974483957175617
23,69,23,0.9948967914351236,0.9974483957175617
24,23,74,0.9948695842344653,0.9974347921172326
25,74,23,0.9948695842344653,0.9974347921172326
26,23,77,0.9957689275116216,0.9978844637558109
27,77,23,0.9957689275116216,0.9978844637558109
28,23,81,0.9915323149467958,0.9957661574733979
29,81,23,0.9915323149467958,0.9957661574733979
30,23,82,0.9930543490828008,0.9965271745414004
31,82,23,0.9930543490828008,0.9965271745414004
32,23,83,0.9974449498651703,0.9987224749325851
33,83,23,0.9974449498651703,0.9987224749325851
34,23,84,0.9936549070520058,0.9968274535260029
35,84,23,0.9936549070520058,0.9968274535260029
36,23,85,0.9908778144798345,0.9954389072399172
37,85,23,0.9908778144798345,0.9954389072399172
38,23,93,0.9905568916500238,0.9952784458250119
39,93,23,0.9905568916500238,0.9952784458250119
40,23,98,0.9972546417930153,0.9986273208965076
41,98,23,0.9972546417930153,0.9986273208965076
42,23,99,0.9953883914153803,0.9976941957076901
43,99,23,0.9953883914153803,0.9976941957076901
44,23,104,0.9965459351481818,0.9982729675740909
45,104,23,0.9965459351481818,0.9982729675740909
46,23,106,0.9925432157853977,0.9962716078926989
47,106,23,0.9925432157853977,0.9962716078926989
48,23,107,0.997825861516773,0.9989129307583865
49,107,23,0.997825861516773,0.9989129307583865
50,23,109,0.9951571756115576,0.9975785878057788
51,109,23,0.9951571756115576,0.9975785878057788
52,23,113,0.9885077484764153,0.9942538742382077
53,113,23,0.9885077484764153,0.9942538742382077
54,23,114,0.9971492449492048,0.9985746224746024
55,114,23,0.9971492449492048,0.9985746224746024
56,23,115,0.9839329856575599,0.9919664928287799
57,115,23,0.9839329856575599,0.9919664928287799
58,23,117,0.9959198844000394,0.9979599422000197
59,117,23,0.9959198844000394,0.9979599422000197
60,23,165,0.9917496693459951,0.9958748346729975
61,165,23,0.9917496693459951,0.9958748346729975
62,23,166,0.9912452515566013,0.9956226257783006
63,166,23,0.9912452515566013,0.9956226257783006
64,23,198,0.991882039176109,0.9959410195880545
65,198,23,0.991882039176109,0.9959410195880545
66,23,199,0.9965343599904526,0.9982671799952263
67,199,23,0.9965343599904526,0.9982671799952263
68,23,233,0.993368322906474,0.996684161453237
69,233,23,0.993368322906474,0.996684161453237
70,23,234,0.996076704229717,0.9980383521148585
71,234,23,0.996076704229717,0.9980383521148585
72,23,240,0.996090458209903,0.9980452291049515
73,240,23,0.996090458209903,0.9980452291049515
74,23,241,0.9912588080865012,0.9956294040432506
75,241,23,0.9912588080865012,0.9956294040432506
76,23,249,0.9954093540735114,0.9977046770367557
77,249,23,0.9954093540735114,0.9977046770367557
78,23,251,0.9949693608437504,0.9974846804218752
79,251,23,0.9949693608437504,0.9974846804218752
80,23,252,0.9902093748432264,0.9951046874216132
81,252,23,0.9902093748432264,0.9951046874216132
82,23,254,0.9952517433587216,0.9976258716793608
83,254,23,0.9952517433587216,0.9976258716793608
84,23,256,0.9972120910945432,0.9986060455472716
85,256,23,0.9972120910945432,0.9986060455472716
86,23,261,0.9954229305285233,0.9977114652642616
87,261,23,0.9954229305285233,0.9977114652642616
88,23,262,0.9959437124789882,0.9979718562394941
89,262,23,0.9959437124789882,0.9979718562394941
90,23,263,0.9964573345237019,0.998228667261851
91,263,23,0.9964573345237019,0.998228667261851
92,23,302,0.9777740903015263,0.9888870451507632
93,302,23,0.9777740903015263,0.9888870451507632
94,23,306,0.9898094711487373,0.9949047355743686
95,306,23,0.9898094711487373,0.9949047355743686
96,23,317,0.9920100517904268,0.9960050258952133
97,317,23,0.9920100517904268,0.9960050258952133
98,23,325,0.9210400494462151,0.9605200247231076
99,325,23,0.9210400494462151,0.9605200247231076
100,23,334,0.9970490787718402,0.9985245393859201
101,334,23,0.9970490787718402,0.9985245393859201
102,23,335,0.9879296851579754,0.9939648425789878
103,335,23,0.9879296851579754,0.9939648425789878
104,23,336,0.9330530969023154,0.9665265484511577
105,336,23,0.9330530969023154,0.9665265484511577
106,23,337,0.9957259483082672,0.9978629741541336
107,337,23,0.9957259483082672,0.9978629741541336
108,23,342,0.9950591473103186,0.9975295736551593
109,342,23,0.9950591473103186,0.9975295736551593
110,23,345,0.987696398091934,0.993848199045967
111,345,23,0.987696398091934,0.993848199045967
112,23,346,0.9949085355001659,0.997454267750083
113,346,23,0.9949085355001659,0.997454267750083
114,23,351,0.9956634570873839,0.997831728543692
115,351,23,0.9956634570873839,0.997831728543692
116,23,353,0.9933797713659374,0.9966898856829687
117,353,23,0.9933797713659374,0.9966898856829687
118,23,354,0.9940121105170897,0.9970060552585449
119,354,23,0.9940121105170897,0.9970060552585449
120,23,365,0.9783913174802341,0.9891956587401171
121,365,23,0.9783913174802341,0.9891956587401171
122,23,380,0.9942098302356781,0.997104915117839
123,380,23,0.9942098302356781,0.997104915117839
124,23,383,0.9929349937976106,0.9964674968988053
125,383,23,0.9929349937976106,0.9964674968988053
126,23,404,0.9930782037707448,0.9965391018853724
127,404,23,0.9930782037707448,0.9965391018853724
128,23,406,0.9247723626581946,0.9623861813290973
129,406,23,0.9247723626581946,0.9623861813290973
130,23,411,0.9959983297665749,0.9979991648832874
131,411,23,0.9959983297665749,0.9979991648832874
132,23,416,0.9938296461890541,0.9969148230945271
133,416,23,0.9938296461890541,0.9969148230945271
134,23,419,0.9907572103551234,0.9953786051775617
135,419,23,0.9907572103551234,0.9953786051775617
136,23,420,0.990842883586508,0.995421441793254
137,420,23,0.990842883586508,0.995421441793254
138,23,421,0.9838744479706649,0.9919372239853325
139,421,23,0.9838744479706649,0.9919372239853325
140,23,424,0.9884187302635525,0.9942093651317763
141,424,23,0.9884187302635525,0.9942093651317763
142,23,425,0.9980477294962163,0.9990238647481082
143,425,23,0.9980477294962163,0.9990238647481082
144,23,426,0.9949541322926552,0.9974770661463276
145,426,23,0.9949541322926552,0.9974770661463276
146,23,428,0.9963293124081545,0.9981646562040772
147,428,23,0.9963293124081545,0.9981646562040772
148,23,435,0.9942847653389386,0.9971423826694693
149,435,23,0.9942847653389386,0.9971423826694693
150,32,35,0.9726930206555424,0.9863465103277712
151,35,32,0.9726930206555424,0.9863465103277712
152,32,36,0.9792569454390259,0.9896284727195129
153,36,32,0.9792569454390259,0.9896284727195129
154,32,37,0.9821639775053568,0.9910819887526784
155,37,32,0.9821639775053568,0.9910819887526784
156,32,50,0.9780423758641607,0.9890211879320803
157,50,32,0.9780423758641607,0.9890211879320803
