,A,B,gates,depth,2-gates,Gates
0,23,32,566,401,108,"Counter({'sx': 243, 'rz': 190, 'cz': 108, 'x': 21, 'measure': 4})"
1,23,35,566,399,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 22, 'measure': 4})"
2,23,36,560,395,108,"Counter({'sx': 243, 'rz': 184, 'cz': 108, 'x': 21, 'measure': 4})"
3,23,37,567,406,110,"Counter({'sx': 242, 'rz': 190, 'cz': 110, 'x': 21, 'measure': 4})"
4,23,50,586,400,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 20, 'measure': 4})"
5,23,53,569,410,110,"Counter({'sx': 242, 'rz': 193, 'cz': 110, 'x': 20, 'measure': 4})"
6,23,55,570,406,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 22, 'measure': 4})"
7,23,57,568,407,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 21, 'measure': 4})"
8,23,59,588,399,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 22, 'measure': 4})"
9,23,63,567,403,108,"Counter({'sx': 243, 'rz': 192, 'cz': 108, 'x': 20, 'measure': 4})"
10,23,67,587,398,106,"Counter({'sx': 249, 'rz': 206, 'cz': 106, 'x': 22, 'measure': 4})"
11,23,69,589,403,106,"Counter({'sx': 249, 'rz': 209, 'cz': 106, 'x': 21, 'measure': 4})"
12,23,74,566,403,108,"Counter({'sx': 243, 'rz': 192, 'cz': 108, 'x': 19, 'measure': 4})"
13,23,77,566,407,110,"Counter({'sx': 242, 'rz': 190, 'cz': 110, 'x': 20, 'measure': 4})"
14,23,81,583,398,106,"Counter({'sx': 249, 'rz': 204, 'cz': 106, 'x': 20, 'measure': 4})"
15,23,82,588,400,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 21, 'measure': 4})"
16,23,83,587,403,106,"Counter({'sx': 249, 'rz': 208, 'cz': 106, 'x': 20, 'measure': 4})"
17,23,84,586,400,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 20, 'measure': 4})"
18,23,85,563,398,108,"Counter({'sx': 243, 'rz': 188, 'cz': 108, 'x': 20, 'measure': 4})"
19,23,93,567,403,108,"Counter({'sx': 243, 'rz': 191, 'cz': 108, 'x': 21, 'measure': 4})"
20,23,98,562,399,108,"Counter({'sx': 241, 'rz': 187, 'cz': 108, 'x': 22, 'measure': 4})"
21,23,99,590,406,108,"Counter({'sx': 252, 'rz': 205, 'cz': 108, 'x': 21, 'measure': 4})"
22,23,104,568,406,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 20, 'measure': 4})"
23,23,106,569,408,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 21, 'measure': 4})"
24,23,107,589,406,108,"Counter({'sx': 252, 'rz': 204, 'cz': 108, 'x': 21, 'measure': 4})"
25,23,109,567,405,108,"Counter({'sx': 243, 'rz': 192, 'cz': 108, 'x': 20, 'measure': 4})"
26,23,113,566,405,110,"Counter({'sx': 242, 'rz': 190, 'cz': 110, 'x': 20, 'measure': 4})"
27,23,114,568,408,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 20, 'measure': 4})"
28,23,115,565,399,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 21, 'measure': 4})"
29,23,117,565,401,108,"Counter({'sx': 243, 'rz': 190, 'cz': 108, 'x': 20, 'measure': 4})"
30,23,165,565,403,108,"Counter({'sx': 243, 'rz': 190, 'cz': 108, 'x': 20, 'measure': 4})"
31,23,166,568,402,108,"Counter({'sx': 243, 'rz': 191, 'cz': 108, 'x': 22, 'measure': 4})"
32,23,198,588,401,106,"Counter({'sx': 249, 'rz': 207, 'cz': 106, 'x': 22, 'measure': 4})"
33,23,199,590,406,107,"Counter({'sx': 254, 'rz': 205, 'cz': 107, 'x': 20, 'measure': 4})"
34,23,233,568,407,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 21, 'measure': 4})"
35,23,234,564,402,108,"Counter({'sx': 243, 'rz': 190, 'cz': 108, 'x': 19, 'measure': 4})"
36,23,240,586,399,106,"Counter({'sx': 249, 'rz': 205, 'cz': 106, 'x': 22, 'measure': 4})"
37,23,241,574,408,108,"Counter({'sx': 243, 'rz': 198, 'cz': 108, 'x': 21, 'measure': 4})"
38,23,249,563,401,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 19, 'measure': 4})"
39,23,251,587,401,106,"Counter({'sx': 249, 'rz': 206, 'cz': 106, 'x': 22, 'measure': 4})"
40,23,252,560,398,108,"Counter({'sx': 243, 'rz': 186, 'cz': 108, 'x': 19, 'measure': 4})"
41,23,254,566,404,110,"Counter({'sx': 242, 'rz': 190, 'cz': 110, 'x': 20, 'measure': 4})"
42,23,256,569,403,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 21, 'measure': 4})"
43,23,261,586,402,106,"Counter({'sx': 249, 'rz': 206, 'cz': 106, 'x': 21, 'measure': 4})"
44,23,262,568,403,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 20, 'measure': 4})"
45,23,263,589,401,106,"Counter({'sx': 249, 'rz': 209, 'cz': 106, 'x': 21, 'measure': 4})"
46,23,302,564,400,108,"Counter({'sx': 243, 'rz': 189, 'cz': 108, 'x': 20, 'measure': 4})"
47,23,306,566,404,108,"Counter({'sx': 243, 'rz': 192, 'cz': 108, 'x': 19, 'measure': 4})"
48,23,317,590,404,106,"Counter({'sx': 249, 'rz': 209, 'cz': 106, 'x': 22, 'measure': 4})"
49,23,325,581,395,106,"Counter({'sx': 249, 'rz': 200, 'cz': 106, 'x': 22, 'measure': 4})"
