,A,B,gates,depth,2-gates,Gates
0,23,32,555,407,110,"Counter({'sx': 250, 'rz': 183, 'cz': 110, 'x': 8, 'measure': 4})"
1,23,35,550,400,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 6, 'measure': 4})"
2,23,36,549,400,106,"Counter({'sx': 251, 'rz': 182, 'cz': 106, 'x': 6, 'measure': 4})"
3,23,37,554,404,108,"Counter({'sx': 251, 'rz': 185, 'cz': 108, 'x': 6, 'measure': 4})"
4,23,50,556,408,110,"Counter({'sx': 250, 'rz': 185, 'cz': 110, 'x': 7, 'measure': 4})"
5,23,53,560,406,106,"Counter({'sx': 251, 'rz': 192, 'cz': 106, 'x': 7, 'measure': 4})"
6,23,55,555,403,106,"Counter({'sx': 251, 'rz': 187, 'cz': 106, 'x': 7, 'measure': 4})"
7,23,57,555,403,106,"Counter({'sx': 251, 'rz': 188, 'cz': 106, 'x': 6, 'measure': 4})"
8,23,59,559,407,106,"Counter({'sx': 251, 'rz': 191, 'cz': 106, 'x': 7, 'measure': 4})"
9,23,63,557,409,110,"Counter({'sx': 250, 'rz': 185, 'cz': 110, 'x': 8, 'measure': 4})"
10,23,67,549,403,106,"Counter({'sx': 249, 'rz': 183, 'cz': 106, 'x': 7, 'measure': 4})"
11,23,69,553,405,108,"Counter({'sx': 251, 'rz': 184, 'cz': 108, 'x': 6, 'measure': 4})"
12,23,74,556,404,106,"Counter({'sx': 251, 'rz': 188, 'cz': 106, 'x': 7, 'measure': 4})"
13,23,77,551,403,108,"Counter({'sx': 251, 'rz': 182, 'cz': 108, 'x': 6, 'measure': 4})"
14,23,81,554,404,108,"Counter({'sx': 251, 'rz': 185, 'cz': 108, 'x': 6, 'measure': 4})"
15,23,82,550,402,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 6, 'measure': 4})"
16,23,83,560,412,110,"Counter({'sx': 250, 'rz': 188, 'cz': 110, 'x': 8, 'measure': 4})"
17,23,84,556,404,106,"Counter({'sx': 251, 'rz': 188, 'cz': 106, 'x': 7, 'measure': 4})"
18,23,85,549,402,108,"Counter({'sx': 251, 'rz': 180, 'cz': 108, 'x': 6, 'measure': 4})"
19,23,93,556,407,110,"Counter({'sx': 250, 'rz': 185, 'cz': 110, 'x': 7, 'measure': 4})"
20,23,98,562,406,106,"Counter({'sx': 251, 'rz': 194, 'cz': 106, 'x': 7, 'measure': 4})"
21,23,99,555,405,106,"Counter({'sx': 251, 'rz': 188, 'cz': 106, 'x': 6, 'measure': 4})"
22,23,104,552,399,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 6, 'measure': 4})"
23,23,106,560,408,108,"Counter({'sx': 250, 'rz': 191, 'cz': 108, 'x': 7, 'measure': 4})"
