,A,B,gates,depth,2-gates,Gates
0,23,32,379,285,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 7, 'measure': 4})"
1,23,35,381,292,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 7, 'measure': 4})"
2,23,36,380,291,72,"Counter({'sx': 165, 'rz': 132, 'cz': 72, 'x': 7, 'measure': 4})"
3,23,37,383,291,70,"Counter({'sx': 165, 'rz': 136, 'cz': 70, 'x': 8, 'measure': 4})"
4,23,50,378,283,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 6, 'measure': 4})"
5,23,53,381,286,68,"Counter({'sx': 162, 'rz': 141, 'cz': 68, 'x': 6, 'measure': 4})"
6,23,55,385,296,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 8, 'measure': 4})"
7,23,57,385,295,72,"Counter({'sx': 165, 'rz': 138, 'cz': 72, 'x': 6, 'measure': 4})"
8,23,59,381,289,70,"Counter({'sx': 163, 'rz': 136, 'cz': 70, 'x': 8, 'measure': 4})"
9,23,63,379,284,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 7, 'measure': 4})"
10,23,67,381,289,70,"Counter({'sx': 163, 'rz': 137, 'cz': 70, 'x': 7, 'measure': 4})"
11,23,69,378,283,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 6, 'measure': 4})"
12,23,74,378,282,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 6, 'measure': 4})"
13,23,77,381,284,68,"Counter({'sx': 162, 'rz': 140, 'cz': 68, 'x': 7, 'measure': 4})"
14,23,81,378,282,68,"Counter({'sx': 162, 'rz': 137, 'cz': 68, 'x': 7, 'measure': 4})"
15,23,82,381,286,68,"Counter({'sx': 162, 'rz': 140, 'cz': 68, 'x': 7, 'measure': 4})"
16,23,83,381,289,68,"Counter({'sx': 162, 'rz': 140, 'cz': 68, 'x': 7, 'measure': 4})"
17,23,84,377,287,70,"Counter({'sx': 163, 'rz': 133, 'cz': 70, 'x': 7, 'measure': 4})"
18,23,85,379,284,68,"Counter({'sx': 162, 'rz': 139, 'cz': 68, 'x': 6, 'measure': 4})"
19,23,93,378,285,68,"Counter({'sx': 162, 'rz': 138, 'cz': 68, 'x': 6, 'measure': 4})"
20,23,98,382,286,68,"Counter({'sx': 162, 'rz': 141, 'cz': 68, 'x': 7, 'measure': 4})"
21,23,99,381,289,70,"Counter({'sx': 163, 'rz': 137, 'cz': 70, 'x': 7, 'measure': 4})"
22,23,104,372,281,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 6, 'measure': 4})"
23,23,106,380,284,68,"Counter({'sx': 162, 'rz': 140, 'cz': 68, 'x': 6, 'measure': 4})"
24,23,107,380,286,68,"Counter({'sx': 162, 'rz': 139, 'cz': 68, 'x': 7, 'measure': 4})"
25,23,109,384,294,72,"Counter({'sx': 165, 'rz': 137, 'cz': 72, 'x': 6, 'measure': 4})"
26,23,113,386,294,70,"Counter({'sx': 165, 'rz': 139, 'cz': 70, 'x': 8, 'measure': 4})"
27,23,114,382,286,68,"Counter({'sx': 162, 'rz': 141, 'cz': 68, 'x': 7, 'measure': 4})"
28,23,115,382,290,70,"Counter({'sx': 163, 'rz': 137, 'cz': 70, 'x': 8, 'measure': 4})"
29,23,117,376,284,70,"Counter({'sx': 163, 'rz': 133, 'cz': 70, 'x': 6, 'measure': 4})"
30,23,165,386,290,70,"Counter({'sx': 165, 'rz': 139, 'cz': 70, 'x': 8, 'measure': 4})"
31,23,166,381,290,70,"Counter({'sx': 163, 'rz': 136, 'cz': 70, 'x': 8, 'measure': 4})"
32,23,198,379,284,68,"Counter({'sx': 162, 'rz': 139, 'cz': 68, 'x': 6, 'measure': 4})"
33,23,199,383,291,69,"Counter({'sx': 167, 'rz': 138, 'cz': 69, 'x': 5, 'measure': 4})"
34,23,233,387,299,72,"Counter({'sx': 165, 'rz': 139, 'cz': 72, 'x': 7, 'measure': 4})"
